word,pos,rules
अतिसार,,"15,22"
अतीत,NN,"15,22"
अतीन्द्रिय,,
अतीव,,
अतुकान्त,,
अतुल,,
अतुलनीय,,
अतुल्य,,
अतृप्त,,
अतृप्ति,,"15,22"
अत्तर,,"18,22,15"
अत्तालि,VF,"8,43"
अत्तो,NN,"15,22"
अत्तोपत्तो,,"15,22"
अत्यधिक,ADJ,
अत्यधिकरुप,,"15,22"
अत्यन्त,ADJ,
अत्याकर्षण,,"15,22"
अत्याचार,NN,"18,22,15"
अत्याज्य,,
अत्याधुनिक,,
अत्यावस्यकरुप,,"15,22"
अत्यास,NN,"18,22,15"
अत्यासलाग्दो,,14
अत्यासिलो,,14
अत्युक्त,,
अत्युक्ति,NN,"15,22"
अत्युत्तम,ADJD,
अत्र,,
अत्रि,NN,"15,22"
अथ,,
अथक,ADJ,
अथर्व,ADJ,"15,22"
अथवा,CCON,
अथारे,,
अथारो,,14
अथाह,ADJ,
अथुलाउ,VF,"9,42"
अथुलो,,14
अदक्ष,,32
अदना,,"15,22"
अदप,,"15,22"
अदब,,"15,22"
अदम्य,ADJ,
अदल,,34
अदलबदल,,"15,22"
अदलीय,,
अदाच्छे,,
अदालत,NN,"18,22,15"
अदालती,,
अदिति,,"15,22"
अदीक्षित,,
अदुवा,NN,"18,22,15"
अदूरदर्शी,,
अदूषित,,
अदृश्य,,
अदृष्ट,,
अदृष्टपूर्व,,
अदृष्टवादी,,
अदेख,,
अदेखा,,
अदेय,,
अद्भुत,,"15,22"
अद्य,,
अद्यतन,,
अद्यपि,AVQL,
अद्यावधि,,
अद्वितीय,ADJ,
अद्वैत,NN,"15,22"
अद्वैतवादी,,
अद्‌भूत,ADJ,
अध:,,
अध:पतन,,
अधकट्टी,,"18,22,15"
अधकल्चि,VF,"8,43"
अधखुला,,
अधन,,"15,22"
अधपक्का,,
अधपिल्टो,ADJ,14
अधबेसुरो,,14
अधबैँसे,,
अधम,ADJ,"15,22"
अधमरो,,14
अधर,NN,"15,22"
अधर्म,,"15,22"
अधर्मी,,
अधस्थ,,
अधा,,
अधार्मिक,,
अधिक,ADJ,33
अधिकता,,
अधिकर्ता,,
अधिकार,NC,"18,22,15"
अधिकारकर्मी,,"18,22,15"
अधिकारदि,,"15,22"
अधिकारपत्र,,"18,22,15"
अधिकारवाद,,"15,22"
अधिकारवाला,,
अधिकारसम्पन्न,,"15,22"
अधिकारहरण,,"15,22"
अधिकारी,,"18,22,15"
अधिकृत,,"18,22,15"
अधिक्रो,ADJ,"15,22"
अधिग्रो,,"15,22"
अधितो,,14
अधिनायकवाद,,"15,22"
अधिनियमित,,
अधियाँ,ADJ,"18,22,15"
अधियुक्त,,
अधिराज,,"18,22,15"
अधिराजकुमार,,"18,22,15"
अधिराज्य,,"18,22,15"
अधिरोही,,
अधिलेखन,,"15,22"
अधिवक्ता,,"18,22,15"
अधिवेशन,,"18,22,15"
अधिष्ठित,,
अधीक्षक,,"15,22"
अधीन,NN,"15,22,32"
अधीनस्थ,,32
अधीर,,32
अधुना,,
अधुनातन,,
अधुरो,ADJ,14
अधेरी,,
अधेरो,ADJ,
अधैर्य,,33
अधैर्यता,,
अधोगति,,"15,22"
अधोगामि,,
अधोमुख,,
अधोरेखाङ्कित,,
अधोलोक,,"18,22,15"
अध्यक्ष,NN,"18,22,15,33"
अध्यक्षता,,
अध्यक्ष्य,,"18,22,15"
अध्ययन,NN,"15,22,34"
अध्ययनशिल,,
अध्ययनीय,,
अध्यवसाय,,"18,22,15"
अध्यागमन,,"15,22"
अध्यागमित,,
अध्यात्म,NN,"15,22"
अध्यात्मवाद,,
अध्यादेश,NN,"18,22,15"
अध्यापक,,"18,22,15"
अध्यापन,NN,"15,22"
अध्याय,NN,"18,22,15"
अध्येता,,"18,22,15"
अध्येय,,
अनकन,NN,"15,22"
अनकन्टार,ADJ,"15,22"
अनक्षर,,36
अनक्षरात्मक,,
अनखट्टा,,
अनगन्ती,,
अनगिन्ती,,"15,22"
अनग्र,,
अनङ्कित,,
अनङ्गक्रिडा,,"18,22,15"
अनजान,,
अनत,,
अनतिक्रमणीय,,
अनदी,NN,"15,22"
अनद्यतन,,
अनधिकार,,39
अनधिकारिक,,
अनधिकृत,,
अनधीत,,
अननुनासिक,,
अननुभूत,,
अनन्तता,,
अनन्य,,
अनपढ,,"18,22,15"
अनपाम्मे,,
अनभिज्ञ,,33
अनभिज्ञता,,
अनभिव्यक्त,,
अनभ्यस्त,,
अनमेल,,"15,22"
अनमोल,,"15,22"
अनम्र,,
अनरसा,NN,"18,22,15"
अनरीत,,
अनरेरी,,
अनर्गल,ADJ,
अनर्थ,,"15,22"
अनर्थक,,
अनर्थकारी,,"18,22,15"
अनर्ध्य,,
अनर्ह,,
अनल,,"15,22"
अनलङ्कृत,,
अनलाइन,,"15,22"
अनलिमिटेड,,"18,22,15"
अनवच्छिन्न,,
अनवरत,ADJ,
अनवीकृत,,
अनश्वर,,
अनसन,NN,"15,22"
अनागत,,
अनागरिक,,
अनाचार,,"15,22"
अनाज,NN,"15,22"
अनाडी,ADJ,
अनाथ,NN,"18,22,15"
अनाथालय,,"18,22,15"
अनादर,,"15,22"
अनादि,ADJ,"15,22"
अनादिष्ट,,
अनादृत,,
अनाम,,"15,22"
अनामनगर,,"18,22,15"
अनामिका,,"15,22"
अनायक,,
अनायास,AVP,
अनार,NN,"18,22,15"
अनारम्भ,,
अनारस,NN,"18,22,15"
अनार्य,,
अनार्ष,,
अनावरण,,"15,22"
अनावरित,,
अनावर्तक,,
अनावश्यक,,
अनावासीय,,
अनावृत,,
अनावृष्ट,,
अनाश्रय,,
अनाश्रित,,
अनासक्त,,
अनासीन,,
अनाहक,,
अनाहत,,"15,22"
अनाहार,,"15,22"
अनि,CCON,
अनिकाल,NN,"15,22"
अनिकाली,,
अनिच्छा,,"15,22"
अनिच्छित,,
अनिच्छु,,
अनिता,,"18,22,15"
अनित्य,,
अनिदो,ADJ,14
अनिद्रा,,"15,22"
अनिन्दनीय,,
अनिन्दित,,
अनिन्द्य,,
अनिपुण,,
अनिमन्त्रित,,
अनिमिष,,
अनियत,,
अनियन्त्रित,,
अनियमित,,"15,22,32"
अनियमितरुप,,"15,22"
अनिरुद्ध,,
अनिर्णय,,"15,22"
अनिर्णीत,,
अनिर्दिष्ट,,
अनिर्धारित,,
अनिर्वचनीय,,
अनिर्वाचित,,
अनिल,,"18,22,15"
अनिवार्य,NN,33
अनिवार्यता,,
अनिश्चितता,,
अनिष्ट,ADJ,"18,22,15"
अनिष्टकर,,
अनिष्टकारी,,
अनिष्टसूचन,,"15,22"
अनीश्वर,,
अनीश्वरवादी,,
अनुकम्पा,NN,"15,22"
अनुकरण,NN,34
अनुकरणात्मक,,
अनुकरणीय,,
अनुकर्ता,,"18,22,15"
अनुकारी,,
अनुकार्य,,
अनुकुलनशील,,"15,22"
अनुकूल,NN,
अनुकूलन,,"15,22"
अनुकूलित,,
अनुकृत,,
अनुक्त,,
अनुक्रम,,"18,22,15,39"
अनुक्रमण,,"15,22"
अनुक्रमणिका,,"18,22,15"
अनुक्रमाङ्क,,"18,22,15"
अनुक्रमिक,,
अनुगत,,
अनुगमन,NN,"15,22"
अनुगामी,,
अनुगुण,,
अनुगृहीत,,
अनुग्रह,NN,"15,22"
अनुचर,,"18,22,15"
अनुचित,,
अनुचितरुप,,"15,22"
अनुच्च,,
अनुच्चरित,,
अनुच्चारणीय,,
अनुच्चारित,,
अनुच्चार्य,,
अनुच्चेद,,
अनुच्छेद,NN,"18,22,15"
अनुज,NN,"18,22,15"
अनुजीवी,,
अनुज्ञा,,"15,22"
अनुतप्त,,
अनुताप,,"15,22"
अनुत्तम,,
अनुत्तर,,
अनुत्तरित,,
अनुत्तीर्ण,,32
अनुत्पन्न,,
अनुत्पादक,,
अनुत्पादन,,"18,22,15"
अनुत्पादित,,
अनुत्साहित,,
अनुत्साही,,
अनुदात्त,,
अनुदान,,"18,22,15"
अनुदार,,32
अनुदारवादी,,
अनुद्यमी,,
अनुद्योग,,"15,22"
अनुद्योगी,,
अनुद्विग्न,,
अनुनय,,"15,22"
अनुनादक,,
अनुनादित,,
अनुनासिक,,
अनुन्नत,,
अनुन्मुक्त,,
अनुप,,"18,22,15"
अनुपकार,,
अनुपकारी,,
अनुपम,NN,"15,22"
अनुपमेय,,
अनुपयुक्त,,32
अनुपयोगी,,
अनुपराज,,"18,22,15"
अनुपलब्ध,,32
अनुपस्थित,,
अनुपस्थिति,,"15,22"
अनुपात,NN,"15,22"
अनुपाती,,
अनुपादेय,,32
अनुपूरक,,
अनुपूरित,,
अनुप्रयोग,,"18,22,15"
अनुप्राणित,,
अनुप्रास,NN,"15,22"
अनुबद्ध,,
अनुबन्ध,,"18,22,15"
अनुबन्धपत्र,,"18,22,15"
अनुबन्धित,,
अनुबन्धितवाद,,
अनुबन्धितवादी,,
अनुभव,NN,"18,22,15,36"
अनुभवात्मक,,
अनुभवाश्रित,,
अनुभवी,,
अनुभाव,,"15,22"
अनुभाव्य,,
अनुभूत,,"15,22"
अनुभूति,NN,"18,22,15"
अनुभूतिमूलक,,
अनुभूतिशून्य,,
अनुमत,,
अनुमति,NN,"15,22"
अनुमतिपत्र,,"18,22,15"
अनुमतिप्राप्त,,
अनुमान,NN,"15,22"
अनुमानित,,
अनुमित,,
अनुमेय,,
अनुमोदक,,
