word,pos,rules
धादिङ,NP,"15,22"
धान,NN,"15,22"
धानबारी,,"15,22"
धानबाली,,"15,22"
धान्,VF,"1,41"
धाप,NN,"15,22"
धाप्,VF,"1,41"
धाम,NN,"15,22"
धामन,NN,"15,22"
धामी,NN,"18,22,15"
धामीझाँक्री,,"18,22,15"
धार,NN,"15,22"
धारण,NN,"15,22,34"
धारणा,,"18,22,15,36"
धारा,,"15,22"
धाराप्रवाह,,"15,22"
धारिणी,,"18,22,15"
धारो,NN,"15,22"
धार्नी,NN,"15,22"
धावन,NN,"15,22"
धावा,NN,"15,22"
धिक्,,
धिक्कार,INTJ,"15,22"
धिक्कार्,,"1,41"
धिताल,NP,"18,22,15"
धितो,NN,"15,22"
धिपधिप,,
धिपिक्क,ADVM,
धिप्क,,"8,45"
धिमाल,NP,"15,22"
धीत,NN,"15,22"
धीर,ADJ,32
धु,VF,"8,46,47"
धुइँधुइँ,,
धुइर,,"8,45"
धुइरो,NN,"15,22"
धुकचुक,,"15,22"
धुकधुक,,
धुजा,NN,"15,22"
धुत,,"8,45"
धुत्कार,NN,"15,22"
धुन,NN,"15,22"
धुनी,NN,"15,22"
धुनीयाँ,,"15,22"
धुन्,VF,"1,41"
धुन्चे,NP,"15,22"
धुप,NN,"15,22"
धुमधाम,,"15,22"
धुमधुम,,
धुमधुमती,,
धुम्म,ADJ,
धुरा,NN,"15,22"
धुरि,VF,"8,43"
धुरी,NN,"18,22,15"
धुरुक्क,,
धुरुधुरु,,
धुर्सुल,,"15,22"
धुलाइ,,"15,22"
धुलिखेल,,"15,22"
धुलो,NN,"15,22"
धुवाँ,NN,"15,22"
धुसुरे,ADJ,"15,22"
धुस्नि,VF,"8,43"
धुस्रे,,"15,22"
धुस्सा,NN,"15,22"
धूप,NN,"15,22"
धूपी,NN,"15,22"
धूमपान,,"15,22"
धूलो,NN,"15,22"
धूवाँ,NN,"15,22"
धृष्टता,,
धेनु,NN,"15,22"
धेरथोर,,"15,22"
धेरै,ADJ,"15,22"
धैर्य,NN,"15,22,33"
धैर्यता,,
धोका,NN,"15,22"
धोको,NN,"15,22"
धोक्,VF,"1,41"
धोक्रो,NN,"15,22"
धोखा,NN,"18,22,15"
धोती,NN,"18,22,15"
धोत्रि,VF,"8,43"
धोबी,NN,"18,22,15"
धौ,,"15,22"
धौधौ,,"15,22"
धौलागिरि,NP,"15,22"
ध्यान,NN,"15,22"
ध्यानाकर्षण,,"15,22"
ध्येय,NN,"15,22"
ध्रुव,NP,"15,22,34"
ध्रुवचन्द्र,,"15,22"
ध्वंस,NN,"15,22"
ध्वज,NN,"15,22"
ध्वजा,,"18,22,15"
ध्वनि,NN,"15,22,36"
ध्वनी,,"15,22"
ध्वन्यात्मकता,,"15,22"
ध्वान्द्रि,,"8,43"
ध्वारध्वार,,
ध्वार्र,,
नकआउट,,"15,22"
नकचरि,"VF,ADJ","8,43"
नकच्चरि,VF,"8,43"
नकर्मी,NP,"18,22,15"
नकाब,NN,"18,22,15"
नकार,,"15,22,36"
नकार्,VF,"1,41"
नकुल,NP,"18,22,15"
नक्कल,NN,"15,22"
नक्कली,,"15,22"
नक्षत्र,NN,"18,22,15,34"
नक्सा,NN,"18,22,15"
नक्साल,NP,"15,22"
नखत,NN,"15,22"
नखरा,NN,"15,22"
नखशिखान्त,,
नगद,NN,"18,22,15"
नगर,NN,"15,22,34"
नगरकोट,NP,"15,22"
नगरक्षेत्र,,"18,22,15"
नगरपालिका,,"18,22,15"
नगरा,NN,"15,22"
नगर्ची,NN,"18,22,15"
नगेन्द्र,NP,"18,22,15"
नङ,NN,"15,22"
नङ्ग्रा,,"18,22,15"
नङ्ङि,VF,"8,43"
नजर,NN,"15,22"
नजरअन्दाज,,"15,22"
नजरबन्द,,"15,22"
नजराना,,"15,22"
नजिक,ADV,"15,22"
नजिर,NN,"15,22"
नट,,"15,22"
नटआउट,,"15,22"
नटवर,NP,"15,22"
नतिजा,NN,"15,22"
नत्थी,NN,"15,22"
नत्थु,,"15,22"
नत्थ्याउ,VF,"9,42"
नत्र,TT,
नथुनी,,"18,22,15"
नथुली,,"18,22,15"
नदी,NN,"18,22,15"
नन्द,NN,"15,22"
नन्दिनी,NP,"18,22,15"
नन्दी,NP,"18,22,15"
नन्देभाइ,,"18,22,15"
नपा,,"15,22"
नपुङ्सक,ADJ,"18,22,15"
नपुङ्सकलिङ्ग,,"15,22"
नबाव,NN,"18,22,15"
नब्बे,NUMC,"15,22"
नभन्दै,,
नम:,,
नमज्जा,,"15,22"
नमन,NP,"15,22,34,38"
नमस्कार,NN,"15,22"
नमस्ते,NN,"15,22"
नमाज,NN,"15,22"
नमुना,NN,"18,22,15"
नम्र,ADJ,
नयन,NN,"15,22"
नर,NN,"18,22,15"
नरक,NN,"15,22"
नरखट,NN,"15,22"
नरदेवी,,"15,22"
नरनारी,,"18,22,15"
नरबहादुर,,"18,22,15"
नरशमशेर,,"18,22,15"
नरसंहार,,"15,22"
नरसिंह,,"15,22"
नरहरि,,"18,22,15"
नराइ,,"8,43"
नरिवल,NN,"18,22,15"
नरेन्द्र,NP,"18,22,15"
नरेश,NP,"15,22"
नर्क,NN,"15,22"
नर्कट,NN,"15,22"
नर्तन,NN,"15,22"
नर्दन,NN,"15,22"
नर्भस,,"15,22"
नर्मदा,NP,"18,22,15"
नर्मल,,"15,22"
नर्वे,NP,"15,22"
नर्स,NN,"18,22,15"
नर्सरी,NN,"15,22"
नर्सिंगहोम,,"18,22,15"
नर्सिङ,,"18,22,15"
नलिखुट्टो,,"18,22,15"
नलिनी,NP,"18,22,15"
नली,NN,"15,22"
नवदुर्गा,,"15,22"
नवधा,,
नवमी,NN,"15,22"
नवयुवक,,"18,22,15"
नवरस,,"15,22"
नवराज,,"18,22,15"
नवलपरासी,,"15,22"
नववर्ष,,"15,22"
नवाफ,,"15,22"
नवाह,,"15,22"
नवीकरण,,
नवीन,NN,"15,22,32"
नशा,NN,"15,22"
नस,NN,"15,22"
नसा,,"18,22,15"
नसिन,,
नसिहतपत्र,,"18,22,15"
नसो,NN,"15,22"
नस्ल,NN,"15,22"
नहर,NN,"18,22,15"
नाइँ,INTJ,
नाइके,NN,"18,22,15"
नाइट,,"15,22"
नाइटो,NN,"15,22"
नाइट्रोजन,NN,"15,22"
नाई,NN,"18,22,15"
नाउँ,NN,"18,22,15"
नाउर,NN,"15,22"
नाक,NN,"15,22"
नाका,NN,"18,22,15"
नाकाबन्दी,,"15,22"
नाकी,,"15,22"
नाग,NN,"18,22,15"
नागढुंगा,,"15,22"
नागबेली,,"18,22,15"
नागर,,"15,22"
नागरिक,,"18,22,15,33"
नागरिकता,,
नागा,ADJ,"18,22,15"
नागार्जुन,NP,"15,22"
नागी,,"15,22"
नागेश,NP,"18,22,15"
नाघ्,VF,"1,41"
नाङ्लो,NN,"15,22"
नाच,,"15,22"
नाचगान,,"18,22,15"
नाचघर,,"18,22,15"
नाच्,"NN,VF","1,41"
नाजी,,"18,22,15"
नाटक,NN,"18,22,15,34"
नाठो,NN,"18,22,15"
नाडी,NN,"18,22,15"
नाता,NN,"18,22,15"
नातागत,,"15,22"
नातागोता,,"15,22"
नातावाद,,"15,22"
नाति,NN,"18,22,15"
नातिकाजी,,"18,22,15"
नातिनातिना,,"18,22,15"
नातिनी,,"18,22,15"
नातेदार,,"18,22,15"
नातो,NN,"18,22,15"
नाथ,NN,"15,22"
नाथी,ADJ,"15,22"
नाथे,,"18,22,15"
नाथ्,VF,"1,41"
नाथ्रो,NN,"15,22"
नाद,NN,"15,22"
नान,,"15,22"
नानक,,"15,22"
नाना,NN,"15,22"
नानी,NN,"18,22,15"
नानीथङ्कु,,"15,22"
नानु,,"18,22,15"
नाप,,"15,22"
नापतौल,,"15,22"
नापि,,"8,43"
नापी,,"15,22"
नाप्,VF,"1,41"
नाफा,NN,"15,22"
नाबालक,,"18,22,15"
नाभि,,"15,22"
नाभो,NN,"15,22"
नाम,NN,"18,22,15,35,39"
नामकरण,,"15,22"
नामकर्म,,"15,22"
नामनिशान,,"15,22"
नामयोगी,,"15,22"
नामाङ्‍कन,,"15,22"
नामावली,,"15,22"
नाम्लो,NN,"15,22"
नायक,NN,"18,22,15"
नायकत्व,,"15,22"
नायव,ADJ,"18,22,15"
नायिका,,"18,22,15"
नारद,NP,"18,22,15,34"
नारा,NN,"15,22"
नारान,,
नाराबाजी,,"18,22,15"
नारायण,NP,"15,22"
नारायणगढ,,"15,22"
नारायणगोपाल,,"18,22,15"
नारायणपुर,,"15,22"
नारायणप्रसाद,,"18,22,15"
नारायणमान,,"18,22,15"
नारायणहिटी,,"15,22"
नारायणी,,"15,22"
नारी,NN,"18,22,15"
नारीत्व,,"15,22"
नार्,VF,"1,41"
नाल,NN,"15,22"
नाला,,"15,22"
नालिस,NN,"18,22,15"
नाली,,"18,22,15"
नास,,"15,22"
नासा,,"15,22"
नासो,NN,"15,22"
नास्,VF,"1,41"
नास्ता,NN,"15,22"
नास्ति,NN,
नास्तिक,ADJ,"15,22"
नास्पाती,NN,"18,22,15"
नाहक,NN,
नाहिँ,,
नाहुर,NN,"15,22"
नि,,
निःस्वार्थ,,"15,22"
निउँ,NN,"15,22"
निकट,ADV,33
निकटता,,
निकाय,NN,"15,22,18"
निकाला,,"15,22"
निकाल्,VF,"1,41"
निकास,,"15,22"
निकासा,,"15,22"
निकासी,,"15,22"
निकास्,VF,"1,41"
निकुञ्ज,NN,"18,22,15"
निकेतन,NN,"18,22,15"
निकोर्सि,NN,
निकोला,,"15,22"
निक्रिष्टता,,
निक्ल,VF,"8,44"
निक्षेप,NN,"15,22"
निखन्,VF,"1,41"
निखार,,"15,22"
निखार्,VF,"1,41"
निखिल,NP,"15,22"
निखुल्क,,"8,45"
निगम,NN,"18,22,15"
निगरानी,NN,"15,22"
निगालो,NN,"18,22,15"
निगाह,NN,"15,22"
निगाहा,,"18,22,15"
निगुरो,NN,"18,22,15"
निग्रह,NN,"15,22"
निग्रो,NN,"18,22,15"
निघण्टु,NN,"15,22"
निचर्,VF,"1,41"
निचोड,NN,"15,22"
निचोर्,VF,"1,41"
निछाउ,VF,"9,42"
निछोट्,VF,"1,41"
निज,PDUN,31
निजगढ,NP,"15,22"
निजत्व,,"15,22"
निजात्मकता,,
निजामती,NN,"I15,22"
निजी,ADJ,
निजीकरण,,
निजीक्षेत्र,,"18,22,15"
निजु,,
निट्ठै,NN,
नित,,
नितम्ब,NN,"18,22,15"
नितान्त,NN,
नित्य,PDUN,
नित्यराज,,"15,22"
निथार्,VF,"1,41"
निथ्र,VF,"8,45"
निथ्रुक्क,ADVM,
निदाउ,VF,"9,42"
निदान,NN,"15,22"
निदाल,NN,"18,22,15"
निद्रा,NN,"15,22"
निधन,NN,"15,22"
निधान,NN,"15,22"
निधार,NN,"18,22,15"
निधि,NN,"8,43"
निधो,NN,"15,22"
निन्दन,,"15,22,34"
निन्दा,NN,"15,22,36"
निपटारा,,"15,22"
निपर्सि,NN,
निपात,NN,"18,22,15"
निपुण,ADJ,
निप्ट,VF,"8,45"
निफन्,VF,"1,41"
निफुल्क,VF,"8,45"
निब,NN,"15,22"
निबन्ध,NN,"18,22,15"
निबन्धकार,,"18,22,15"
निबारो,NN,"15,22"
निबुवा,NN,"18,22,15"
निब्ट,VF,"8,45"
निभा,,"15,22"
निभ्,NN,"1,41"
निमठ्,NN,"1,41"
निमन्त्रण,NN,"18,22,15"
निमन्त्रणा,,"18,22,15"
निमावि,,"15,22"
निमित्त,PPG,"15,22"
निमेक,NN,"15,22"
निमेष,,"15,22"
निमोठ्,VF,"1,41"
निमोनियाँ,,"15,22"
निम्की,NN,"18,22,15"
निम्जो,NN,"18,22,15"
निम्ठि,VF,"8,43"
निम्ता,NN,"18,22,15"
निम्ति,,"8,43"
नियत,NN,"15,22"
नियति,,"15,22"
नियन्त्रक,,"18,22,15"
नियन्त्रण,NN,"18,22,15"
नियम,NN,"18,22,15"
नियमितता,,
नियाँ,NN,"15,22"
नियाँस्रो,NN,"15,22"
नियात्रा,,"15,22"
नियाल्,VF,"1,41"
नियुक्ति,NN,"15,22"
नियुक्तिपत्र,,"18,22,15"
नियोग,NN,"18,22,15"
नियोजन,NN,"15,22"
निर,NN,
निरङ्कुश,NN,33
निरङ्कुशतन्त्र,,"15,22"
निरङ्कुशता,,
निरञ्जन,NN,"18,22,15"
निरतिशय,,
निरन्तर,ADVM,"15,22,33,39"
निरन्तरता,,
निरपराध,,"18,22,15"
निराकरण,,"15,22"
निराकार,,"15,22"
निराश,NN,
निराशा,,"15,22"
निरास,,"15,22"
निरीक्षक,,"18,22,15"
निरीक्षण,NN,"15,22"
निरुपण,NN,"15,22"
निरोध,NN,"15,22"
निरौला,NP,"15,22"
निर्क्योल्,VF,"1,41"
निर्क्यौल,,"15,22"
निर्जन,,"18,22,15"
निर्जीवन,,"15,22"
निर्णय,NN,"18,22,15,36"
निर्दय,,"15,22,33"
निर्दयता,,
निर्दलीयता,,
निर्दिष्ट,NN,
निर्देश,NN,"18,22,15"
निर्देशक,,"18,22,15"
निर्देशन,,"18,22,15"
निर्देशनालय,,"18,22,15"
निर्धन,,"18,22,15"
निर्धारण,NN,"15,22"
निर्बाध,,"15,22"
निर्भर,,"15,22"
निर्मल,ADJ,"15,22"
निर्मला,,"18,22,15"
निर्माण,NN,"15,22,36"
निर्माणकार्य,,"18,22,15"
निर्माता,NN,"18,22,15"
निर्यात,NN,"15,22"
निर्वाचन,NN,"18,22,15"
निर्वाध,,"15,22"
निर्वासन,,"15,22"
निर्वाह,NN,"15,22"
निर्विरोध,,"15,22"
निलम,NN,"18,22,15"
निलम्बन,,"15,22"
निलाहार,,"15,22"
निलुम्बा,,"15,22"
निल्,VF,"1,41"
निवार,NN,"15,22"
निवारण,,"15,22,34"
निवास,NN,"18,22,15"
निवृत्त,NN,"15,22"
निवृत्ति,,"15,22"
निवेदक,,"18,22,15"
निवेदन,NN,"18,22,15"
निशान,NN,"15,22"
निशाना,,"18,22,15"
निशिदिन,,
निश्‍चय,NN,"15,22,36"
निश्‍वास,,"15,22"
निषाद,,"18,22,15"
निषेध,NN,"15,22,36"
निषेधाज्ञा,,"18,22,15"
निष्कर्ष,NN,"15,22"
निष्कारण,,
निष्पक्षता,,
निष्‍ठा,NN,"15,22"
निसान,NN,"15,22"
निसाना,,"18,22,15"
निसाफ,NN,"15,22"
निसासि,VF,"8,43"
निस्क,VF,"8,45"
निस्कासन,,"15,22"
निस्ति,VF,"8,43"
निस्सन्देह,,
निस्से,,
निहार,,"15,22"
निहार्,VF,"1,41"
निहुँ,NN,"15,22"
निहुर,VF,"8,45"
निहोरा,,"15,22"
नीच,ADJ,"15,22,32"
नीति,NN,"18,22,15"
नीद,NN,"15,22"
नीम,NN,"18,22,15"
नीर,NN,"15,22"
नीराजन,,"18,22,15"
नीलकण्ठ,,"18,22,15"
नीलाम्बर,,"18,22,15"
नुन,NN,"15,22"
नुवाकोट,NP,"15,22"
नुहाइ,,"8,43"
नुहाउ,VF,"9,42"
नुहु,VF,"8,45"
नृत्य,NN,"15,22"
नृपति,,"18,22,15"
नेकपा,,"15,22"
नेका,,"15,22"
नेकोन,,"15,22"
नेट,,"18,22,15"
नेटवर्क,,"15,22"
नेटो,NN,"15,22"
नेता,NN,"18,22,15"
नेतृत्व,,"15,22"
नेत्र,NN,"18,22,15"
नेदरल्यान्ड,NP,"15,22"
नेपथ्य,NN,"15,22"
नेपर्,VF,"1,41"
नेपाल,NP,"15,22,68"
नेपाल-भारत,,"15,22"
नेपालगन्ज,NP,"15,22"
नेपालभाषा,,"15,22"
नेपाली साहित्‍य,,"18,22,15"
नेप्टि,"VF,ADJ","8,43"
नेप्से,,"18,22,15"
नेफा,,"15,22"
नेबुला,,"15,22"
नेभारो,,"15,22"
नेमकिपा,,"15,22"
नेल,NN,"15,22"
नेल्रालेक,,"15,22"
नेवार,NP,"18,22,15"
नेविसङ्घ,,"15,22"
नेशनल,,"15,22"
नैकाप,,"15,22"
नैतिकता,,
नैपुण्य,,"15,22"
नैराश्य,,"15,22"
नैवेद,,"18,22,15"
नोकर,NN,"18,22,15"
नोकरशाह,,"18,22,15"
नोकरी,,"15,22"
नोकर्नी,,"18,22,15"
नोक्सान,NN,"15,22"
नोक्सानी,,"15,22"
नोजल,,"15,22"
नोट,NN,"18,22,15"
नोभेम्बर,NP,"15,22"
नोवेल,NP,"18,22,15"
नौतिकता,,
नौनी,NN,"15,22"
नौबत,,"15,22"
नौमति,,"15,22"
नौरथा,,"15,22"
नौली,ADJ,"18,22,15"
न्याउरी,NN,"18,22,15"
न्यातपोल,NP,"15,22"
न्यानोपन,,"15,22"
न्याय,NN,"15,22,39"
न्यायपरिषद,,"18,22,15"
न्यायपालिका,,"18,22,15"
न्यायाधीश,,"18,22,15"
न्यायालय,,"18,22,15"
न्याहुर,NN,"15,22"
न्युक्यासल,,"15,22"
न्युजिल्यान्ड,NP,"15,22"
न्युयोर्क,NP,"15,22"
न्युरोड,NP,"15,22"
न्यून,NN,"31,33"
न्यूनतम,ADJD,
न्यूनता,,
न्यूनीकरण,,
न्वारान,NN,"15,22"
पँजनी,NN,"18,22,15"
पँजाइ,,"8,43"
पँधेरो,NN,"18,22,15"
पकड,NN,23
पकपकती,,
पकवान,NN,"15,22"
पकाइ,,"8,43"
पकापक,,
पकापकी,,
पकुवा,NN,"15,22"
पकेट,NN,"18,22,15"
पक्क,,
पक्का,AVQL,"15,22"
पक्कु,NN,"15,22"
पक्कै,,
पक्ड,,"8,45"
पक्र,VF,"8,45"
पक्राउ,,"9,42"
पक्लक्क,,
पक्ष,NN,"15,22,34"
पक्षपात,,"15,22"
पक्षी,NN,"18,22,15"
पख,,
पखाल,,"15,22"
पखाला,NN,"15,22"
पखाले,,"15,22"
पखाल्,VF,"1,41"
पखेटा,NN,"18,22,15"
पखेरा,NN,"18,22,15"
पखेरु,,"15,22"
पखेस्,,
पख्,VF,"1,41"
पगरी,NN,"18,22,15"
पगली,,"15,22"
पगार्,"V,VF","1,41"
पगाल्,VF,"1,41"
पगितो,ADJ,14
पग्र,VF,"8,45"
पग्ल,VF,"8,44"
पघार्,VF,"1,41"
पङ्कज,,"18,22,15"
पङ्क्ति,NN,"18,22,15"
पङ्क्तिकार,,"18,22,15"
पङ्क्तिगुच्छा,,"15,22"
पङ्ख,NN,"18,22,15"
पङ्खा,,"18,22,15"
पङ्‌क्ति,,
पङ्‌क्तिविच्छेद,,"15,22"
पच,,
पचक्क,,
पचपच,,
पचपचती,,
पचपची,,
पचपन्न,NUMC,"15,22"
पचहत्तर,NUMC,"15,22"
पचास,NUMC,"15,22"
पचासी,NUMC,"15,22"
पच्,VF,"1,41"
पच्कार्,VF,"1,41"
पच्चीस,NUMC,"15,22"
पच्छि,,"8,43"
पच्छिम,NN,"15,22"
पच्पन्न,,"15,22"
पछाउ,VF,"9,42"
पछाडि,ADV,"15,22"
पछार्,VF,"1,41"
पछि,AVP,"15,22"
पछितो,,"15,22"
पछिल्तिर,,
पछुतो,NN,"15,22"
पछेउरा,NN,"18,22,15"
पछ्याउ,VF,"9,42"
पछ्यौरा,,"18,22,15"
पजनी,NN,"15,22"
पजेरो,NP,"18,22,15"
पञ्च,NUMC,"18,26"
पञ्चकन्या,,"18,22,15"
पञ्चनारायण,,"18,22,15"
पञ्चमी,,"15,22"
पञ्चाग्नि,,"15,22"
पञ्चाङ्ग,NN,"15,22"
पञ्चाङ्ग्रेस,,"15,22"
पञ्चामृत,,"15,22"
पञ्चायत,,"15,22"
पञ्चायतकाल,,"15,22"
पञ्चेबाजा,,"18,22,15"
पञ्चैती,,"15,22"
पञ्जा,,"18,22,15"
पञ्जिका,,"15,22"
पञ्जी,,"15,22"
पटक,NN,
पटकथा,,"18,22,15"
पटक्क,INTJ,
पटटट,,
पटन,,"15,22"
पटना,NP,"15,22"
पटनी,,"15,22"
पटरी,NN,"15,22"
पटवारी,NN,"18,22,15"
पटाक्षेप,NN,"15,22"
पटापट,ADVM,
पटार्,VF,"1,41"
पटाहा,NN,"15,22"
पटि,,"8,43"
पटु,,"15,22"
पटुका,NN,"18,22,15"
पटेर,NN,"15,22"
पटेल,NP,"15,22"
पट्,VF,"1,41"
पट्क,VF,"8,45"
पट्कार,,"8,45"
पट्कि,VF,"8,43"
पट्ट,,
पट्टा,NN,"18,22,15"
पट्टी,NN,"15,22"
पट्टेर,NN,
पट्याँस,NN,"18,22,15"
पट्याउ,VF,"9,42"
पट्याकपुटुक,,
पट्याङ,,
पट्यार,,"15,22"
पठन,NN,"15,22"
पठनपाठन,,"15,22"
पठाउ,VF,"9,42"
पठान,NP,"15,22"
पठार,NN,"15,22"
पडताल,NN,"15,22"
पड्,VF,"1,41"
पड्क,VF,"8,45"
पड्कार्,VF,"1,41"
पड्कि,VF,"8,43"
पड्याङ,,
पढ,,"15,22"
पढाइ,,"8,43"
पढ्,VF,"41,84,94"
पण्डा,NN,"18,22,15"
पण्डित,,"18,22,15"
पतकर,NN,"15,22"
पतङ्‍ग,NN,"18,22,15"
पतन,NN,"15,22"
पतपत,,
पतरी,,"15,22"
पतल्याउ,VF,"9,42"
पताका,,"18,22,15"
पति,NN,"18,22,15"
पतिपत्नी,,"18,22,15"
पतुर्,VF,"1,41"
पतेरो,NN,"15,22"
पत्कर,NN,"18,22,15"
पत्कालिक,,
पत्ता,,"15,22"
पत्ताउ,VF,"9,42"
पत्ती,NN,"18,22,15"
पत्तो,NN,"15,22"
पत्तोफाँट,,"15,22"
पत्थर,NN,"18,22,15"
पत्नी,NN,"18,22,15"
पत्याउ,VF,"9,42"
पत्यार,NN,"15,22"
पत्र,NN,"18,22,15"
पत्रकार,,"18,22,15"
पत्रकारिता,,"15,22"
पत्रपद्धति,,"15,22"
पत्रमञ्जूषा,,"15,22"
पत्रसन्देश,,"18,22,15"
पत्राचार,,"15,22"
पत्रिका,,"18,22,15"
पत्रु,ADJ,"15,22"
पत्रे,,"15,22"
पथ,NN,"15,22"
पथरी,NN,"15,22"
पथार्,VF,"1,41"
पद,NN,"15,22,34,39"
पदक,,"18,22,15"
पदनाम,,"15,22"
पदपूर्ति,,"15,22"
पदम,NP,"18,22,15"
पदमबहादुर,,"18,22,15"
पदयात्रा,,"15,22"
पदयोग,,"15,22"
पदयोजना,,"15,22"
पदलोप,,"15,22"
पदवियोग,,"15,22"
पदवी,,"18,22,15"
पदस्थापन,,"15,22"
पदाइ,,"8,43"
पदाधिकारी,,"18,22,15"
पदार्थ,NN,"18,22,15"
पदार्पण,NN,"15,22"
पदावधि,,"15,22"
पदावली,,"18,22,15"
पदोन्नति,,"15,22"
पद्धति,NN,"18,22,15"
पद्म,NN,"15,22"
पद्मकन्या,,"18,22,15"
पद्मोदय,,"15,22"
पद्य,NN,"18,22,15,36"
पद्यनाटक,,"18,22,15"
पन,,"15,22"
पनाति,NN,"18,22,15"
पनि,ADV,
पनिउँ,NN,"18,22,15"
पनौती,NP,"15,22"
पन्चानब्बे,NUMC,"15,22"
पन्छ,,"8,45"
पन्छी,NN,"18,22,15"
पन्जा,NN,"18,22,15"
पन्जाब,NP,"15,22"
पन्त,NP,"15,22"
पन्थ,NP,"15,22"
पन्थी,,"15,22"
पन्ध्र,NUMC,"15,22"
पन्ना,NN,"15,22"
पन्याइ,,"15,22"
पन्यु,NN,"18,22,15"
पन्साउ,VF,"9,42"
पप,,"15,22"
पपअप,,
पप्लु,,"15,22"
पब्लिकेसन्स,,"18,22,15"
पम्प,NN,"15,22"
पम्प्लेट,NN,"18,22,15"
पम्फा,NP,"18,22,15"
पर:श्व,,
परक्क,,
परख,NN,"15,22"
परगेल्,VF,"1,41"
परत:,,
परतिर,,
परत्र,NN,
परदेश,,"15,22"
परन्तु,CCON,
परपर,,
परपरि,VF,"8,43"
परपरै,,
परपुरुष,,"18,22,15"
परबर,,"15,22"
परम,NN,"15,22"
परमगति,,"15,22"
परमधाम,,"15,22"
परमपद,,"15,22"
परमपिता,,"18,22,15"
परमाणु,NN,"18,22,15"
परमात्मा,,"15,22"
परमाधिपति,,"18,22,15"
परमार्थ,,"15,22"
परमेश्‍वर,,"18,22,15"
परम्परा,NN,"18,22,15"
परराष्ट्र,,"18,22,15"
परराष्ट्रमन्त्री,,"18,22,15"
परलोक,,"15,22"
परशु,,"18,22,15"
परशुनारायण,,"18,22,15"
परशुराम,,"18,22,15"
परस्पर,PDUN,"15,22"
पराइ,NN,"8,43"
पराउ,VF,"9,42"
पराकाष्ठा,,"18,22,15"
पराक्रम,NN,"18,22,15"
पराग,NN,"15,22"
पराघौँ,AVP,"15,22"
पराजय,,"18,22,15"
पराजुली,NP,"18,22,15"
परापूर्व,,"15,22"
परापूर्वकाल,,"15,22"
परामर्श,NN,"18,22,15"
परामर्शदाता,,"18,22,15"
परार,AVP,"15,22"
पराल,NN,"15,22"
परासी,NP,"15,22"
पराह,,
परिकल्पना,,"18,22,15"
परिकार,NN,"18,29"
परिक्रमण,,"15,22"
परिक्रमा,NN,"15,22,36"
परिचय,NN,"18,22,15,35,36"
परिचयपत्र,,"18,22,15"
परिचर्चा,,"15,22"
परिचालन,,"15,22"
परिचित,ADJ,
परिच्छेद,NN,"15,22"
परिणति,NN,"18,22,15"
परिणय,,"15,22"
परिणाम,NN,"18,22,15"
परिणाय,,"15,22"
परित्याग,,"15,22"
परिदृश्य,,"15,22"
परिधि,,"15,22,34"
परिपक्वता,,
परिपत्र,,"18,22,15"
परिपाटी,,"15,22"
परिपाठ,,"15,22"
परिपूर्ण,,"15,22"
परिपूर्ति,,"15,22"
परिप्रेक्ष,,"15,22"
परिप्रेक्ष्य,,"15,22"
परिबन्द,,"15,22"
परिभाषा,,"15,22"
परिमल,,"15,22"
परिमाण,NN,"18,22,15"
परिमार्जन,,"15,22"
परिमिति,,"15,22"
परियार,NP,"18,22,15"
परियोजना,,"18,22,15"
परिवरण,NN,"15,22"
परिवर्तन,NN,"15,22,34"
परिवर्द्धन,NN,"15,22"
परिवहन,NN,"15,22"
परिवार,NN,"18,22,15"
परिवारजन,,"18,22,15"
परिवेत्ता,NN,"18,22,15"
परिवेश,NN,"15,22"
परिशिष्ट,NN,"18,22,15"
परिश्रम,NN,"15,22"
परिषद,NN,"18,22,15"
परिष्करण,,"15,22"
परिष्कार,NN,"15,22"
परिसर,NN,"15,22"
परिस्थिति,,"15,22"
परीक्षक,,"18,22,15"
परीक्षण,,"15,22"
परीक्षा,NN,"18,22,15"
परीक्षाफल,,"15,22"
परीक्षार्थी,,"18,22,15"
परुत्,,
परेठ,,"15,22"
परेड,NN,"18,22,15"
परेला,NN,"15,22"
परेवा,NN,"18,22,15"
परोपकार,,"18,22,15"
पर्,VF,"1,41"
पर्ख,VF,"8,45"
पर्खाल,NN,"18,22,15"
पर्खि,,"8,43"
पर्गेल्,VF,"1,41"
पर्चा,NN,"18,22,15"
पर्चापत्र,,"15,22"
पर्जन्य,,"15,22"
पर्ती,NN,"15,22"
पर्दा,NN,"18,29"
पर्म,NN,"15,22"
पर्यटक,,"18,22,15"
पर्यटन,NN,"15,22"
पर्यन्त,NN,
पर्यवेक्षण,,"15,22"
पर्याकपुरुक,,
पर्याय,NN,"15,22,35"
पर्यायकोश,,"18,22,15"
पर्यावरण,NN,"15,22,34"
पर्यावरणीय,,
पर्र,,
पर्लक्क,,
पर्व,NN,"18,22,15"
पर्वत,NN,"15,22,34"
पर्वतारोहण,,"15,22"
पर्वतारोही,,"18,22,15"
पर्वते,,"18,22,15"
पर्वाह,NN,"15,22"
पर्स,VF,"8,45"
पर्सा,NP,"15,22"
पर्सि,,"8,43"
पल,NN,"15,22"
पलक,NN,"15,22"
पलङ,NN,"18,22,15"
पलट्ट,NN,
पलाउ,VF,"9,42"
पलपल,,"15,22"
